NAME,CBSAA,POP_2015,POP_2016,POP_2017,POP_2018,POP_2019,POP_2020,POP_2021,POP_2022
"Aberdeen, WA Micro Area",10140,71122,71628,72697,73901,75061,75636,76841,77038
"Abilene, TX Metro Area",10180,168922,170860,169747,174006,171795,176579,178608,180982
"Adrian, MI Micro Area",10300,98573,98504,98623,98266,98451,99423,98956,98567
"Aguadilla-Isabela, PR Metro Area",10380,313209,309764,306000,292919,288877,310160,309515,310652
"Akron, OH Metro Area",10420,704243,702221,703505,704845,703479,702219,700015,697627
"Alamogordo, NM Micro Area",10460,64362,65410,65817,66781,67490,67839,68537,68823
"Albany, GA Metro Area",10500,156997,152506,151754,151158,147384,148922,146961,146387
"Albany-Lebanon, OR Metro Area",10540,120547,122849,125047,127335,129749,128610,129839,130467
"Albany-Schenectady-Troy, NY Metro Area",10580,881830,881839,886188,883169,880381,899262,899286,904617
"Albertville, AL Micro Area",10700,94725,95157,95548,96109,96774,97612,98228,99423
"Albuquerque, NM Metro Area",10740,906209,913924,913113,916791,914480,916528,921311,923925
"Alexandria, LA Metro Area",10780,154484,154789,153984,153044,152037,152192,150890,149189
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",10900,832327,835652,840550,842913,844052,861889,865310,871229
"Altoona, PA Metro Area",11020,125593,124650,123457,122492,121829,122822,121767,121032
"Amarillo, TX Metro Area",11100,263258,263491,266575,268356,269447,268691,270119,271480
"Ames, IA Metro Area",11180,96021,97090,97502,98105,123351,125252,126195,126282
"Anchorage, AK Metro Area",11260,399790,402557,400888,399148,396317,398328,398807,400470
"Ann Arbor, MI Metro Area",11460,358880,364709,367627,370963,367601,372258,369390,366376
"Anniston-Oxford, AL Metro Area",11500,115620,114611,114728,114277,113605,116441,115972,115788
"Appleton, WI Metro Area",11540,233007,234079,236126,237524,237974,243147,244084,244845
"Arecibo, PR Metro Area",11640,188295,185250,181643,174271,174606,182705,182014,180063
"Asheville, NC Metro Area",11700,446840,452319,456145,459585,462680,469015,472341,476072
"Ashtabula, OH Micro Area",11780,98632,98231,97807,97493,97241,97574,97337,97014
"Athens, TX Micro Area",11980,79545,79901,81064,82299,82737,82150,83667,84511
"Athens-Clarke County, GA Metro Area",12020,201813,206360,206937,211802,212706,215415,217382,220191
"Atlanta-Sandy Springs-Alpharetta, GA Metro Area",12060,5709731,5790210,5882450,5950828,6018744,6089815,6144970,6222908
"Atlantic City-Hammonton, NJ Metro Area",12100,274219,270991,269918,265429,263670,274534,274966,275638
"Auburn, NY Micro Area",12180,78288,77861,77603,77145,76576,76248,75880,74998
"Auburn-Opelika, AL Metro Area",12220,156993,158991,161604,163941,164542,174241,177218,180773
"Augusta-Richmond County, GA-SC Metro Area",12260,590772,595147,600600,605903,610648,611000,616395,622829
"Augusta-Waterville, ME Micro Area",12300,119980,120569,121821,122083,122302,123642,124486,125540
"Austin-Round Rock-Georgetown, TX Metro Area",12420,2000860,2056405,2115827,2168316,2227083,2283371,2352426,2421115
"Bakersfield, CA Metro Area",12540,882176,884788,893119,896764,900202,909235,917673,916108
"Baltimore-Columbia-Towson, MD Metro Area",12580,2797407,2798886,2808175,2802789,2800053,2844510,2838327,2835672
"Bangor, ME Metro Area",12620,152692,151806,151957,151096,152148,152199,152765,153704
"Baraboo, WI Micro Area",12660,,,,,,65763,65697,65777
"Barnstable Town, MA Metro Area",12700,214333,214276,213444,213413,212990,228996,232411,232457
"Baton Rouge, LA Metro Area",12940,830480,835175,834159,831310,854884,870569,871905,873060
"Battle Creek, MI Metro Area",12980,134314,134386,134128,134487,134159,134310,133819,133289
"Bay City, MI Metro Area",13020,105659,104747,104239,103923,103126,103856,102985,102821
"Beaumont-Port Arthur, TX Metro Area",13140,408216,409901,411339,410233,392563,397565,395419,393575
"Beaver Dam, WI Micro Area",13180,88502,88068,87786,87847,87839,89396,89313,88282
"Beckley, WV Metro Area",13220,122507,120924,118543,117272,115767,115079,113698,112369
"Bellingham, WA Metro Area",13380,212284,216800,221404,225685,229247,226847,228831,230677
"Bend, OR Metro Area",13460,175268,181307,186875,191996,197692,198253,204801,206549
"Billings, MT Metro Area",13740,169329,169736,172081,171894,181667,184167,187037,190208
"Binghamton, NY Metro Area",13780,246020,244094,242217,240219,238691,247138,245220,244889
"Birmingham-Hoover, AL Metro Area",13820,1145647,1147417,1149807,1151801,1090435,1115289,1114262,1116857
"Bismarck, ND Metro Area",13900,129640,131547,132767,132317,129115,133626,134028,134427
"Blacksburg-Christiansburg, VA Metro Area",13980,179904,183411,181986,181926,166109,166378,168404,167534
"Bloomington, IL Metro Area",14010,188725,187326,186356,190884,171517,170954,170889,171141
"Bloomington, IN Metro Area",14020,165577,166336,167825,167762,169230,161039,161321,161227
"Bloomsburg-Berwick, PA Metro Area",14100,85229,84763,84204,83696,83194,82863,82959,83017
"Bluefield, WV-VA Micro Area",14140,104063,102618,100848,99986,105344,106363,104994,105147
"Boise City, ID Metro Area",14260,675800,690214,710323,732257,749057,764718,801470,813801
"Boston-Cambridge-Newton, MA-NH Metro Area",14460,4774321,4794447,4836531,4875390,4873019,4941632,4899932,4900550
"Boulder, CO Metro Area",14500,319372,322226,322514,326078,326196,330758,329543,327468
"Bowling Green, KY Metro Area",14540,166890,174560,178474,177183,176816,179639,186107,184636
"Bozeman, MT Micro Area",14580,100739,104502,107810,111876,114434,118960,122713,124857
"Brainerd, MN Micro Area",14660,92134,92933,93779,94408,94834,96189,97909,99222
"Bremerton-Silverdale-Port Orchard, WA Metro Area",14740,260131,264811,266414,269805,271473,275611,274314,277673
"Bridgeport-Stamford-Norwalk, CT Metro Area",14860,948053,944177,949921,943823,943332,957419,959768,963211
"Brownsville-Harlingen, TX Metro Area",15180,422156,422135,423725,423908,423163,421017,423029,425208
"Brunswick, GA Metro Area",15260,117771,115737,114473,116864,119122,113495,115033,111077
"Buffalo-Cheektowaga, NY Metro Area",15380,1135230,1132804,1136856,1130152,1127983,1166902,1162336,1161192
"Burlington, NC Metro Area",15500,158276,159688,162391,166436,169509,171415,173877,176353
"Burlington-South Burlington, VT Metro Area",15540,216661,217411,218341,220612,219433,225562,226715,228270
"California-Lexington Park, MD Metro Area",15680,111413,112587,112667,112664,113510,113777,114468,114877
"Canton-Massillon, OH Metro Area",15940,402976,401281,399927,398655,397520,401574,400525,399316
"Cape Coral-Fort Myers, FL Metro Area",15980,701982,722336,739224,754610,770577,760822,787976,822453
"Cape Girardeau, MO-IL Metro Area",16020,96542,94806,98239,93647,93397,97517,96456,95449
"Carbondale-Marion, IL Metro Area",16060,126828,126430,125612,124475,137159,133435,133006,132563
"Carson City, NV Metro Area",16180,54521,54742,54745,55414,55916,58639,58993,58130
"Casper, WY Metro Area",16220,82178,81039,79547,79115,79858,79955,79555,79601
"Cedar Rapids, IA Metro Area",16300,266040,267799,270293,272295,273032,276520,275435,275592
"Centralia, WA Micro Area",16500,75882,77066,78200,79604,80707,82149,84398,85370
"Chambersburg-Waynesboro, PA Metro Area",16540,153638,153851,154234,154835,155027,155932,156289,156902
"Champaign-Urbana, IL Metro Area",16580,239672,239872,241000,237356,226033,222538,222696,223265
"Charleston, WV Metro Area",16620,219236,219579,215089,211285,257814,258859,252942,250554
"Charleston-North Charleston, SC Metro Area",16700,744526,761155,775831,787643,802122,799636,813052,830529
"Charlotte-Concord-Gastonia, NC-SC Metro Area",16740,2426363,2474314,2525305,2569213,2636883,2660329,2701046,2756069
"Charlottesville, VA Metro Area",16820,230602,229467,232182,231565,218358,221524,220569,223534
"Chattanooga, TN-GA Metro Area",16860,546351,551200,554876,558703,566153,562647,567395,573767
"Cheyenne, WY Metro Area",16940,97121,98136,98327,98976,99500,100512,100863,100723
"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",16980,9550108,9512968,9533895,9497790,9457867,9618502,9510390,9442159
"Chico, CA Metro Area",17020,225411,226864,229294,231256,219186,211632,208309,207303
"Chillicothe, OH Micro Area",17060,77170,77000,77313,76931,76666,77093,76891,76606
"Cincinnati, OH-KY-IN Metro Area",17140,2159329,2161441,2180746,2189442,2219750,2256884,2261665,2268393
"Clarksburg, WV Micro Area",17220,91756,90499,90929,89718,91707,90434,90546,88405
"Clarksville, TN-KY Metro Area",17300,279887,282075,285602,290745,311073,320535,329864,336447
"Clearlake, CA Micro Area",17340,64591,64116,64246,64382,64386,68163,68766,68191
"Cleveland, TN Metro Area",17420,121678,123861,123935,124748,126801,126164,129855,129303
"Cleveland-Elyria, OH Metro Area",17460,2060810,2055612,2058844,2057009,2048449,2088251,2075662,2063132
"Coeur d'Alene, ID Metro Area",17660,150346,154311,157637,161505,165697,171362,179789,183578
"College Station-Bryan, TX Metro Area",17780,250145,254716,258860,265024,268101,268248,271026,279045
"Colorado Springs, CO Metro Area",17820,697856,712327,723878,738939,745791,755105,762792,765424
"Columbia, MO Metro Area",17860,174974,176594,178271,180005,208548,210864,212796,214749
"Columbia, SC Metro Area",17900,810574,816450,825004,833165,839039,829470,836324,847804
"Columbus, GA-AL Metro Area",17980,312936,307816,305911,307149,322103,328883,326491,324416
"Columbus, IN Metro Area",18020,81162,81402,82040,82753,83779,82208,82475,83540
"Columbus, OH Metro Area",18140,2021632,2041520,2078725,2106541,2122271,2138926,2151017,2161511
"Concord, NH Micro Area",18180,147994,148582,149216,151132,151391,153808,155238,156020
"Cookeville, TN Micro Area",18260,107851,110925,111571,111825,115274,113982,116526,117625
"Corning, NY Micro Area",18500,97631,96940,96281,95796,95379,93584,92948,92599
"Corpus Christi, TX Metro Area",18580,450436,452790,449830,452927,429024,421933,422778,421628
"Corvallis, OR Metro Area",18700,87572,89385,90951,92101,93053,95184,96017,97630
"Crestview-Fort Walton Beach-Destin, FL Metro Area",18880,262172,267059,271346,278644,284809,286973,293324,299786
"Cullman, AL Micro Area",18980,82005,82471,82755,83442,83768,87866,89496,90665
"Cumberland, MD-WV Metro Area",19060,99979,99541,98837,97915,97284,95044,94586,94122
"Dallas-Fort Worth-Arlington, TX Metro Area",19100,7102165,7232599,7400479,7540371,7573136,7637387,7759615,7943685
"Dalton, GA Metro Area",19140,143781,143904,144440,143983,144724,142837,142799,143604
"Danville, IL Metro Area",19180,79282,78111,77909,76806,75758,74188,73095,72337
"Danville, VA Micro Area",19260,104276,103585,102388,101642,100398,103091,102187,102181
"Daphne-Fairhope-Foley, AL Metro Area",19300,203709,208563,212628,218022,223234,231767,239294,246435
"Davenport-Moline-Rock Island, IA-IL Metro Area",19340,384584,383352,382298,380106,378923,384324,381447,378269
"Dayton-Kettering, OH Metro Area",19430,,,,,807611,814049,813516,812595
"Decatur, AL Metro Area",19460,152680,152256,151867,152046,152603,156494,156758,157425
"Decatur, IL Metro Area",19500,107303,106550,105801,104712,104009,103998,102432,101483
"Deltona-Daytona Beach-Ormond Beach, FL Metro Area",19660,623279,637674,649202,659605,668365,668921,685344,705897
"Denver-Aurora-Lakewood, CO Metro Area",19740,2814330,2853077,2888227,2932415,2967239,2963821,2972567,2985871
"Des Moines-West Des Moines, IA Metro Area",19780,622899,634725,645911,655409,699292,709466,719146,729053
"Detroit-Warren-Dearborn, MI Metro Area",19820,4302043,4297617,4313002,4326442,4319629,4392041,4365205,4345761
"Dothan, AL Metro Area",20020,148171,147834,147914,148245,149358,151007,151618,152517
"Dover, DE Metro Area",20100,173533,174827,176824,178550,180786,181851,184149,186946
"Dublin, GA Micro Area",20140,,,,,66343,65165,,65903
"DuBois, PA Micro Area",20180,80994,80596,79685,79388,79255,80562,80082,77904
"Dubuque, IA Metro Area",20220,97125,97003,97041,96854,97311,99266,98718,98677
"Duluth, MN-WI Metro Area",20260,279601,279227,278782,278799,289383,291638,292285,291931
"Durham-Chapel Hill, NC Metro Area",20500,552493,559535,567428,575412,644367,649903,654012,664310
"East Stroudsburg, PA Metro Area",20700,166397,166098,168046,169507,170271,168327,169273,167198
"Eau Claire, WI Metro Area",20740,165636,166614,167484,168669,169304,172007,173317,173644
"El Centro, CA Metro Area",20940,180191,180883,182830,181827,181215,179702,179851,178713
"Elizabethtown-Fort Knox, KY Metro Area",21060,147877,150447,149813,152459,154713,155572,157318,157854
"Elkhart-Goshen, IN Metro Area",21140,203474,203781,205032,205560,206341,207047,206921,206890
"Elmira, NY Metro Area",21300,87071,86322,85557,84254,83456,84148,83045,81426
"El Paso, TX Metro Area",21340,838019,842114,842677,844723,843725,868859,871727,871323
"Enid, OK Metro Area",21420,,62603,61581,60913,61056,62846,61926,61920
"Erie, PA Metro Area",21500,278045,276207,274541,272061,269728,270876,269011,267689
"Eugene-Springfield, OR Metro Area",21660,362895,369519,374748,379611,382067,382971,383189,382353
"Eureka-Arcata, CA Micro Area",21700,135727,136646,136754,136373,135558,136463,136310,135010
"Evansville, IN-KY Metro Area",21780,315693,315948,315669,314672,315086,314049,313946,314038
"Fairbanks, AK Metro Area",21820,99631,100605,99703,98971,96849,95655,95593,95356
"Fargo, ND-MN Metro Area",22020,233836,238124,241356,245471,246145,249843,252136,258663
"Faribault-Northfield, MN Micro Area",22060,65400,65622,65968,66523,66972,67097,67262,67693
"Farmington, MO Micro Area",22100,66520,66627,66705,66692,67215,66922,67541,66969
"Farmington, NM Metro Area",22140,118737,115079,126926,125043,123958,121661,120993,120418
"Fayetteville, NC Metro Area",22180,376509,380389,386662,387094,526719,520378,524588,529318
"Fayetteville-Springdale-Rogers, AR Metro Area",22220,515403,527153,535557,553795,536120,546725,558507,576724
"Findlay, OH Micro Area",22300,75573,75872,75754,75930,75783,74920,74656,74861
"Flagstaff, AZ Metro Area",22380,139097,140908,140776,142854,143476,145101,145052,144060
"Flint, MI Metro Area",22420,410849,408615,407385,406892,405813,406211,404208,401983
"Florence, SC Metro Area",22500,206448,205976,205831,204961,204911,199964,199259,199119
"Florence-Muscle Shoals, AL Metro Area",22520,146950,146534,147038,147149,147970,150791,151517,153911
"Fond du Lac, WI Metro Area",22540,101973,102144,102548,103066,103403,104154,104362,103836
"Fort Collins, CO Metro Area",22660,333577,339993,343976,350518,356899,359066,362533,366778
"Fort Payne, AL Micro Area",22840,,70900,71617,71385,71513,71608,71813,71998
"Fort Smith, AR-OK Metro Area",22900,280241,281227,282086,282318,249152,244310,247661,246751
"Fort Wayne, IN Metro Area",23060,429820,431802,434617,437631,413263,419601,423038,426076
"Frankfort, KY Micro Area",23180,71505,72718,73029,73478,73738,75393,75717,75831
"Fresno, CA Metro Area",23420,974861,979915,989255,994400,999101,1008654,1013581,1015190
"Gadsden, AL Metro Area",23460,103057,102564,102755,102501,102268,103436,103162,103088
